rownames,exchange_rate_id,is_inverse,base_currency_code,quoted_currency_code,value,date
1,1,0,EUR,EUR,1,2021-01-01
2,2,0,EUR,USD,1.313,1970-01-01
3,3,0,EUR,XOF,655.957,1970-01-01
4,4,0,EUR,KES,113.83735,1970-01-01
5,5,0,EUR,MWK,427.044,1970-01-01
6,6,0,EUR,UGX,3410.38961,1970-01-01
7,7,0,EUR,GBP,0.87057,2021-01-01
8,8,0,EUR,CDF,1205.23,1970-01-01
9,9,0,EUR,CHF,1.23198,1970-01-01
10,10,0,EUR,USD,1.23,2014-11-01
11,11,0,EUR,UGX,3419,2014-11-01
12,12,0,EUR,USD,1.11,2015-01-01
13,13,0,EUR,GBP,0.7267,2015-01-01
14,14,0,EUR,CHF,1.04,2015-01-01
15,15,0,EUR,KES,107.3,2015-01-01
16,16,0,EUR,MWK,476.617,2015-01-01
17,17,0,EUR,USD,1.0927,2016-01-01
18,18,0,EUR,XOF,655.957,2021-01-01
19,19,0,EUR,KES,112.75,2020-01-01
20,20,0,EUR,MWK,798.13,2020-01-01
21,21,0,EUR,UGX,3750.69,2016-01-01
22,22,0,EUR,GBP,0.7371,2016-01-01
23,23,0,EUR,CDF,1026.05,2016-01-01
24,24,0,EUR,CHF,1.0829,2016-01-01
25,25,0,EUR,USD,1.05,2016-12-31
26,26,0,EUR,USD,1.192,2017-09-01
27,27,0,EUR,UGX,4254.86,2017-09-01
28,28,0,EUR,USD,1.16,2019-01-01
29,29,0,EUR,UGX,4201.38,2021-01-01
30,30,0,EUR,USD,1.1513,2021-01-01
31,31,0,EUR,ETB,53.8,2022-01-01
32,32,0,EUR,SDG,515.05,2022-01-01
33,33,0,EUR,XOF,655.957,2022-01-01
34,34,0,EUR,GBP,0.855,2022-01-01
35,35,0,EUR,USD,1.18,2022-01-01
36,36,0,EUR,UGX,4501.285,2022-01-01
37,37,0,EUR,ETB,50.65,2023-01-01
38,38,0,EUR,SDG,549.39,2023-01-01
39,39,0,EUR,XOF,655.96,2023-01-01
40,40,0,EUR,GBP,0.9,2023-01-01
41,41,0,EUR,USD,1.025,2023-01-01
42,42,0,EUR,UGX,4172.02,2023-01-01
43,43,0,EUR,USD,1.08196,2024-01-01
44,44,0,EUR,XOF,655.957,2024-01-01
45,45,0,EUR,GBP,0.87969,2024-01-01
46,46,0,EUR,UGX,4283.9592,2024-01-01
47,47,0,EUR,USD,1.1081,2025-01-01
48,48,0,EUR,XOF,655.9663,2025-01-01
49,49,0,EUR,GBP,0.8576,2025-01-01
50,50,0,EUR,UGX,4135.2717,2025-01-01
