rownames,report_field_description_id,external_id,format,url,width,font_color,police_color,is_bold,is_active,summary_type,data_type,unbound_expression,hide_values,hide_totals,hide_grand_total,hide_in_customization_form,display_total_grid_summary,attribute,display_group_grid_summary,header_filter_mode
1,1,1,# ##0.00,"",,"","",0,1,0,0,,0,0,0,0,0,,0,
2,2,2,0.0%,"",,"","",0,1,0,0,,0,0,0,0,0,,0,
3,3,3,,,300,,,0,1,0,1,,0,0,0,0,0,,0,
4,4,4,"","",200,"","",0,1,0,1,,0,0,0,0,0,,0,
5,5,5,dd/MM/yy HH:mm,,,,,0,1,0,3,,0,0,0,0,0,,0,
6,6,6,# ##0.00####,"",,"","",0,1,0,0,,0,0,0,0,0,,0,
7,7,7,# ##0.00,,100,#CB4335,#FDFEFE,0,1,2,0,,0,0,0,0,1,,0,
8,8,8,0,,,,,0,1,0,0,,0,0,0,0,0,,0,
9,9,9,# ##0.00,,,,,1,1,5,0,,0,0,0,0,1,,0,
10,10,10,# ##0.00,,,#CB4335,#FDFEFE,0,1,0,0,,0,0,0,0,0,,0,
11,11,ArticleUrl,,../../../MSFD2/Articles/AdminEdit.aspx?Id=<@id@>&Type=FwaEu.MSFD2.Articles.ArticleEntity,110,,,0,1,0,1,,0,0,0,0,0,,0,
12,12,Text150,,,150,,,0,1,0,1,,0,0,0,0,0,,0,
13,13,Text50,,,50,,,0,1,0,1,,0,0,0,0,0,,0,
14,14,ProjectURL,,../../../MSFD2/Projects/AdminReadOnly.aspx?Id=<@id@>,,,,0,1,0,1,,0,0,0,0,0,,0,
15,15,15,0.00%,,,,,1,1,0,0,,0,0,0,0,0,,0,
16,16,Sum1,# ##0.00,,,,,0,1,5,,,0,0,0,0,1,,1,
17,17,MultiText,,,,,,0,1,0,,,0,0,0,0,0,,0,2
18,18,MultiDate,,,,,,0,1,0,,,0,0,0,0,0,,0,3
